time,lats,lons,hurs
1,-84.75,37.75,75.384926
1,-84.75,38.25,75.05057
1,-84.75,38.75,72.961006
1,-84.75,39.25,73.09853
1,-84.75,39.75,73.24941
1,-84.75,40.25,73.5553
1,-84.75,40.75,74.27873
1,-84.75,41.25,74.334816
1,-84.75,41.75,74.44698
1,-85.25,37.75,76.10885
1,-85.25,38.25,75.85454
1,-85.25,38.75,73.81452
1,-85.25,39.25,73.885254
1,-85.25,39.75,73.937675
1,-85.25,40.25,74.13837
1,-85.25,40.75,74.76615
1,-85.25,41.25,74.80302
1,-85.25,41.75,74.88235
1,-85.75,37.75,86.69403
1,-85.75,38.25,86.678764
1,-85.75,38.75,86.36461
1,-85.75,39.25,86.39774
1,-85.75,39.75,86.4305
1,-85.75,40.25,86.54232
1,-85.75,40.75,86.715004
1,-85.75,41.25,86.746025
1,-85.75,41.75,86.776505
1,-86.25,37.75,89.671555
1,-86.25,38.25,89.73941
1,-86.25,38.75,89.980804
1,-86.25,39.25,89.982025
1,-86.25,39.75,89.98784
1,-86.25,40.25,90.01801
1,-86.25,40.75,90.01724
1,-86.25,41.25,90.04074
1,-86.25,41.75,90.0381
1,-86.75,37.75,89.64784
1,-86.75,38.25,89.67929
1,-86.75,38.75,89.75387
1,-86.75,39.25,89.775154
1,-86.75,39.75,89.80554
1,-86.75,40.25,89.789764
1,-86.75,40.75,89.71337
1,-86.75,41.25,89.75354
1,-86.75,41.75,89.790726
1,-87.25,37.75,89.22265
1,-87.25,38.25,89.18832
1,-87.25,38.75,88.75715
1,-87.25,39.25,88.79211
1,-87.25,39.75,88.82723
1,-87.25,40.25,88.64972
1,-87.25,40.75,88.32349
1,-87.25,41.25,88.366196
1,-87.25,41.75,88.409065
1,-87.75,37.75,89.72889
1,-87.75,38.25,89.706505
1,-87.75,38.75,89.280426
1,-87.75,39.25,89.32497
1,-87.75,39.75,89.3599
1,-87.75,40.25,89.16739
1,-87.75,40.75,88.81122
1,-87.75,41.25,88.81423
1,-87.75,41.75,88.84772
2,-84.75,37.75,85.711464
2,-84.75,38.25,85.74892
2,-84.75,38.75,85.99973
2,-84.75,39.25,86.08755
2,-84.75,39.75,86.18886
2,-84.75,40.25,86.74291
2,-84.75,40.75,87.58507
2,-84.75,41.25,87.63099
2,-84.75,41.75,87.672485
2,-85.25,37.75,86.15589
2,-85.25,38.25,86.25579
2,-85.25,38.75,86.49839
2,-85.25,39.25,86.54698
2,-85.25,39.75,86.58787
2,-85.25,40.25,87.068924
2,-85.25,40.75,87.83622
2,-85.25,41.25,87.85229
2,-85.25,41.75,87.88851
2,-85.75,37.75,89.94479
2,-85.75,38.25,89.95817
2,-85.75,38.75,89.83263
2,-85.75,39.25,89.85782
2,-85.75,39.75,89.88297
2,-85.75,40.25,89.67978
2,-85.75,40.75,89.304
2,-85.75,41.25,89.330536
2,-85.75,41.75,89.35671
2,-86.25,37.75,90.60368
2,-86.25,38.25,90.60569
2,-86.25,38.75,90.38489
2,-86.25,39.25,90.386856
2,-86.25,39.75,90.393456
2,-86.25,40.25,90.003365
2,-86.25,40.75,89.31449
2,-86.25,41.25,89.33867
2,-86.25,41.75,89.338066
2,-86.75,37.75,90.76471
2,-86.75,38.25,90.77062
2,-86.75,38.75,90.659836
2,-86.75,39.25,90.68044
2,-86.75,39.75,90.71015
2,-86.75,40.25,90.42526
2,-86.75,40.75,89.90021
2,-86.75,41.25,89.94092
2,-86.75,41.75,89.97852
2,-87.25,37.75,90.67223
2,-87.25,38.25,90.74821
2,-87.25,38.75,91.08124
2,-87.25,39.25,91.11444
2,-87.25,39.75,91.147675
2,-87.25,40.25,91.259285
2,-87.25,40.75,91.405
2,-87.25,41.25,91.44591
2,-87.25,41.75,91.487305
2,-87.75,37.75,91.21783
2,-87.75,38.25,91.30872
2,-87.75,38.75,91.66259
2,-87.75,39.25,91.709366
2,-87.75,39.75,91.7491
2,-87.75,40.25,91.85344
2,-87.75,40.75,91.98305
2,-87.75,41.25,91.97977
2,-87.75,41.75,92.00627
3,-84.75,37.75,87.95487
3,-84.75,38.25,87.87622
3,-84.75,38.75,87.30086
3,-84.75,39.25,87.3832
3,-84.75,39.75,87.47892
3,-84.75,40.25,87.59059
3,-84.75,40.75,87.692085
3,-84.75,41.25,87.73841
3,-84.75,41.75,87.78213
3,-85.25,37.75,88.3449
3,-85.25,38.25,88.329704
3,-85.25,38.75,87.77547
3,-85.25,39.25,87.821365
3,-85.25,39.75,87.86032
3,-85.25,40.25,87.914024
3,-85.25,40.75,87.959045
3,-85.25,41.25,87.97518
3,-85.25,41.75,88.011986
3,-85.75,37.75,87.42819
3,-85.75,38.25,87.36395
3,-85.75,38.75,86.70714
3,-85.75,39.25,86.7423
3,-85.75,39.75,86.77713
3,-85.75,40.25,86.90292
3,-85.75,40.75,87.09609
3,-85.75,41.25,87.12912
3,-85.75,41.75,87.16168
3,-86.25,37.75,86.93599
3,-86.25,38.25,86.86466
3,-86.25,38.75,86.23188
3,-86.25,39.25,86.234215
3,-86.25,39.75,86.252754
3,-86.25,40.25,86.400085
3,-86.25,40.75,86.63522
3,-86.25,41.25,86.66121
3,-86.25,41.75,86.667244
3,-86.75,37.75,86.51392
3,-86.75,38.25,86.45151
3,-86.75,38.75,85.96085
3,-86.75,39.25,85.98725
3,-86.75,39.75,86.02451
3,-86.75,40.25,86.16614
3,-86.75,40.75,86.384865
3,-86.75,41.25,86.430115
3,-86.75,41.75,86.4705
3,-87.25,37.75,85.760765
3,-87.25,38.25,85.80845
3,-87.25,38.75,85.95547
3,-87.25,39.25,85.993546
3,-87.25,39.75,86.032
3,-87.25,40.25,86.10435
3,-87.25,40.75,86.20496
3,-87.25,41.25,86.25027
3,-87.25,41.75,86.29549
3,-87.75,37.75,86.20653
3,-87.75,38.25,86.2623
3,-87.75,38.75,86.422195
3,-87.75,39.25,86.46307
3,-87.75,39.75,86.49123
3,-87.75,40.25,86.55433
3,-87.75,40.75,86.63609
3,-87.75,41.25,86.64366
3,-87.75,41.75,86.68161
4,-84.75,37.75,89.07945
4,-84.75,38.25,89.12676
4,-84.75,38.75,89.404015
4,-84.75,39.25,89.474815
4,-84.75,39.75,89.558235
4,-84.75,40.25,89.77363
4,-84.75,40.75,90.01644
4,-84.75,41.25,90.05856
4,-84.75,41.75,90.0918
4,-85.25,37.75,89.44898
4,-85.25,38.25,89.55352
4,-85.25,38.75,89.82383
4,-85.25,39.25,89.863884
4,-85.25,39.75,89.89857
4,-85.25,40.25,90.06205
4,-85.25,40.75,90.25257
4,-85.25,41.25,90.26373
4,-85.25,41.75,90.29107
4,-85.75,37.75,85.7182
4,-85.75,38.25,85.70226
4,-85.75,38.75,85.383896
4,-85.75,39.25,85.42345
4,-85.75,39.75,85.46255
4,-85.75,40.25,85.210945
4,-85.75,40.75,84.80372
4,-85.75,41.25,84.84334
4,-85.75,41.75,84.8823
4,-86.25,37.75,84.573044
4,-86.25,38.25,84.50808
4,-86.25,38.75,83.99834
4,-86.25,39.25,84.00099
4,-86.25,39.75,84.02688
4,-86.25,40.25,83.6896
4,-86.25,40.75,83.17048
4,-86.25,41.25,83.19824
4,-86.25,41.75,83.214035
4,-86.75,37.75,87.1571
4,-86.75,38.25,87.09814
4,-86.75,38.75,86.624016
4,-86.75,39.25,86.65009
4,-86.75,39.75,86.686874
4,-86.75,40.25,86.338104
4,-86.75,40.75,85.750854
4,-86.75,41.25,85.79708
4,-86.75,41.75,85.838036
4,-87.25,37.75,95.57946
4,-87.25,38.25,95.584694
4,-87.25,38.75,95.46183
4,-87.25,39.25,95.486046
4,-87.25,39.75,95.51013
4,-87.25,40.25,95.263725
4,-87.25,40.75,94.8096
4,-87.25,41.25,94.842995
4,-87.25,41.75,94.87712
4,-87.75,37.75,96.07855
4,-87.75,38.25,96.09959
4,-87.75,38.75,95.999916
4,-87.75,39.25,96.04079
4,-87.75,39.75,96.07907
4,-87.75,40.25,95.83501
4,-87.75,40.75,95.379364
4,-87.75,41.25,95.37146
4,-87.75,41.75,95.38855
5,-84.75,37.75,91.11999
5,-84.75,38.25,91.17754
5,-84.75,38.75,91.51613
5,-84.75,39.25,91.57854
5,-84.75,39.75,91.6531
5,-84.75,40.25,91.90157
5,-84.75,40.75,92.183014
5,-84.75,41.25,92.22182
5,-84.75,41.75,92.247406
5,-85.25,37.75,91.4444
5,-85.25,38.25,91.55595
5,-85.25,38.75,91.88559
5,-85.25,39.25,91.921455
5,-85.25,39.75,91.9532
5,-85.25,40.25,92.15419
5,-85.25,40.75,92.38666
5,-85.25,41.25,92.39528
5,-85.25,41.75,92.41716
5,-85.75,37.75,94.494354
5,-85.75,38.25,94.52433
5,-85.75,38.75,94.54749
5,-85.75,39.25,94.560455
5,-85.75,39.75,94.57378
5,-85.75,40.25,94.580536
5,-85.75,40.75,94.53566
5,-85.75,41.25,94.550255
5,-85.75,41.75,94.56498
5,-86.25,37.75,94.75298
5,-86.25,38.25,94.781944
5,-86.25,38.75,94.716515
5,-86.25,39.25,94.72119
5,-86.25,39.75,94.72115
5,-86.25,40.25,94.6768
5,-86.25,40.75,94.54218
5,-86.25,41.25,94.558846
5,-86.25,41.75,94.54826
5,-86.75,37.75,95.39965
5,-86.75,38.25,95.40905
5,-86.75,38.75,95.28671
5,-86.75,39.25,95.30145
5,-86.75,39.75,95.32292
5,-86.75,40.25,95.28498
5,-86.75,40.75,95.160904
5,-86.75,41.25,95.19255
5,-86.75,41.75,95.22295
5,-87.25,37.75,96.242294
5,-87.25,38.25,96.23242
5,-87.25,38.75,96.00946
5,-87.25,39.25,96.03357
5,-87.25,39.75,96.05749
5,-87.25,40.25,96.02772
5,-87.25,40.75,95.93898
5,-87.25,41.25,95.97026
5,-87.25,41.75,96.00222
5,-87.75,37.75,96.71808
5,-87.75,38.25,96.72384
5,-87.75,38.75,96.52922
5,-87.75,39.25,96.56879
5,-87.75,39.75,96.60567
5,-87.75,40.25,96.57198
5,-87.75,40.75,96.47531
5,-87.75,41.25,96.46746
5,-87.75,41.75,96.482574
6,-84.75,37.75,90.25663
6,-84.75,38.25,90.31843
6,-84.75,38.75,90.69146
6,-84.75,39.25,90.76419
6,-84.75,39.75,90.850075
