time,lats,lons,hurs
01/01/2006,-84.75,37.75,75.384926
01/01/2006,-84.75,38.25,75.05057
01/01/2006,-84.75,38.75,72.961006
01/01/2006,-84.75,39.25,73.09853
01/01/2006,-84.75,39.75,73.24941
01/01/2006,-84.75,40.25,73.5553
01/01/2006,-84.75,40.75,74.27873
01/01/2006,-84.75,41.25,74.334816
01/01/2006,-84.75,41.75,74.44698
01/01/2006,-85.25,37.75,76.10885
01/01/2006,-85.25,38.25,75.85454
01/01/2006,-85.25,38.75,73.81452
01/01/2006,-85.25,39.25,73.885254
01/01/2006,-85.25,39.75,73.937675
01/01/2006,-85.25,40.25,74.13837
01/01/2006,-85.25,40.75,74.76615
01/01/2006,-85.25,41.25,74.80302
01/01/2006,-85.25,41.75,74.88235
01/01/2006,-85.75,37.75,86.69403
01/01/2006,-85.75,38.25,86.678764
01/01/2006,-85.75,38.75,86.36461
01/01/2006,-85.75,39.25,86.39774
01/01/2006,-85.75,39.75,86.4305
01/01/2006,-85.75,40.25,86.54232
01/01/2006,-85.75,40.75,86.715004
01/01/2006,-85.75,41.25,86.746025
01/01/2006,-85.75,41.75,86.776505
01/01/2006,-86.25,37.75,89.671555
01/01/2006,-86.25,38.25,89.73941
01/01/2006,-86.25,38.75,89.980804
01/01/2006,-86.25,39.25,89.982025
01/01/2006,-86.25,39.75,89.98784
01/01/2006,-86.25,40.25,90.01801
01/01/2006,-86.25,40.75,90.01724
01/01/2006,-86.25,41.25,90.04074
01/01/2006,-86.25,41.75,90.0381
01/01/2006,-86.75,37.75,89.64784
01/01/2006,-86.75,38.25,89.67929
01/01/2006,-86.75,38.75,89.75387
01/01/2006,-86.75,39.25,89.775154
01/01/2006,-86.75,39.75,89.80554
01/01/2006,-86.75,40.25,89.789764
01/01/2006,-86.75,40.75,89.71337
01/01/2006,-86.75,41.25,89.75354
01/01/2006,-86.75,41.75,89.790726
01/01/2006,-87.25,37.75,89.22265
01/01/2006,-87.25,38.25,89.18832
01/01/2006,-87.25,38.75,88.75715
01/01/2006,-87.25,39.25,88.79211
01/01/2006,-87.25,39.75,88.82723
01/01/2006,-87.25,40.25,88.64972
01/01/2006,-87.25,40.75,88.32349
01/01/2006,-87.25,41.25,88.366196
01/01/2006,-87.25,41.75,88.409065
01/01/2006,-87.75,37.75,89.72889
01/01/2006,-87.75,38.25,89.706505
01/01/2006,-87.75,38.75,89.280426
01/01/2006,-87.75,39.25,89.32497
01/01/2006,-87.75,39.75,89.3599
01/01/2006,-87.75,40.25,89.16739
01/01/2006,-87.75,40.75,88.81122
01/01/2006,-87.75,41.25,88.81423
01/01/2006,-87.75,41.75,88.84772
01/02/2006,-84.75,37.75,85.711464
01/02/2006,-84.75,38.25,85.74892
01/02/2006,-84.75,38.75,85.99973
01/02/2006,-84.75,39.25,86.08755
01/02/2006,-84.75,39.75,86.18886
01/02/2006,-84.75,40.25,86.74291
01/02/2006,-84.75,40.75,87.58507
01/02/2006,-84.75,41.25,87.63099
01/02/2006,-84.75,41.75,87.672485
01/02/2006,-85.25,37.75,86.15589
01/02/2006,-85.25,38.25,86.25579
01/02/2006,-85.25,38.75,86.49839
01/02/2006,-85.25,39.25,86.54698
01/02/2006,-85.25,39.75,86.58787
01/02/2006,-85.25,40.25,87.068924
01/02/2006,-85.25,40.75,87.83622
01/02/2006,-85.25,41.25,87.85229
01/02/2006,-85.25,41.75,87.88851
01/02/2006,-85.75,37.75,89.94479
01/02/2006,-85.75,38.25,89.95817
01/02/2006,-85.75,38.75,89.83263
01/02/2006,-85.75,39.25,89.85782
01/02/2006,-85.75,39.75,89.88297
01/02/2006,-85.75,40.25,89.67978
01/02/2006,-85.75,40.75,89.304
01/02/2006,-85.75,41.25,89.330536
01/02/2006,-85.75,41.75,89.35671
01/02/2006,-86.25,37.75,90.60368
01/02/2006,-86.25,38.25,90.60569
01/02/2006,-86.25,38.75,90.38489
01/02/2006,-86.25,39.25,90.386856
01/02/2006,-86.25,39.75,90.393456
01/02/2006,-86.25,40.25,90.003365
01/02/2006,-86.25,40.75,89.31449
01/02/2006,-86.25,41.25,89.33867
01/02/2006,-86.25,41.75,89.338066
01/02/2006,-86.75,37.75,90.76471
01/02/2006,-86.75,38.25,90.77062
01/02/2006,-86.75,38.75,90.659836
01/02/2006,-86.75,39.25,90.68044
01/02/2006,-86.75,39.75,90.71015
01/02/2006,-86.75,40.25,90.42526
01/02/2006,-86.75,40.75,89.90021
01/02/2006,-86.75,41.25,89.94092
01/02/2006,-86.75,41.75,89.97852
01/02/2006,-87.25,37.75,90.67223
01/02/2006,-87.25,38.25,90.74821
01/02/2006,-87.25,38.75,91.08124
01/02/2006,-87.25,39.25,91.11444
01/02/2006,-87.25,39.75,91.147675
01/02/2006,-87.25,40.25,91.259285
01/02/2006,-87.25,40.75,91.405
01/02/2006,-87.25,41.25,91.44591
01/02/2006,-87.25,41.75,91.487305
01/02/2006,-87.75,37.75,91.21783
01/02/2006,-87.75,38.25,91.30872
01/02/2006,-87.75,38.75,91.66259
01/02/2006,-87.75,39.25,91.709366
01/02/2006,-87.75,39.75,91.7491
01/02/2006,-87.75,40.25,91.85344
01/02/2006,-87.75,40.75,91.98305
01/02/2006,-87.75,41.25,91.97977
01/02/2006,-87.75,41.75,92.00627
01/03/2006,-84.75,37.75,87.95487
01/03/2006,-84.75,38.25,87.87622
01/03/2006,-84.75,38.75,87.30086
01/03/2006,-84.75,39.25,87.3832
01/03/2006,-84.75,39.75,87.47892
01/03/2006,-84.75,40.25,87.59059
01/03/2006,-84.75,40.75,87.692085
01/03/2006,-84.75,41.25,87.73841
01/03/2006,-84.75,41.75,87.78213
01/03/2006,-85.25,37.75,88.3449
01/03/2006,-85.25,38.25,88.329704
01/03/2006,-85.25,38.75,87.77547
01/03/2006,-85.25,39.25,87.821365
01/03/2006,-85.25,39.75,87.86032
01/03/2006,-85.25,40.25,87.914024
01/03/2006,-85.25,40.75,87.959045
01/03/2006,-85.25,41.25,87.97518
01/03/2006,-85.25,41.75,88.011986
01/03/2006,-85.75,37.75,87.42819
01/03/2006,-85.75,38.25,87.36395
01/03/2006,-85.75,38.75,86.70714
01/03/2006,-85.75,39.25,86.7423
01/03/2006,-85.75,39.75,86.77713
01/03/2006,-85.75,40.25,86.90292
01/03/2006,-85.75,40.75,87.09609
01/03/2006,-85.75,41.25,87.12912
01/03/2006,-85.75,41.75,87.16168
01/03/2006,-86.25,37.75,86.93599
01/03/2006,-86.25,38.25,86.86466
01/03/2006,-86.25,38.75,86.23188
01/03/2006,-86.25,39.25,86.234215
01/03/2006,-86.25,39.75,86.252754
01/03/2006,-86.25,40.25,86.400085
01/03/2006,-86.25,40.75,86.63522
01/03/2006,-86.25,41.25,86.66121
01/03/2006,-86.25,41.75,86.667244
01/03/2006,-86.75,37.75,86.51392
01/03/2006,-86.75,38.25,86.45151
01/03/2006,-86.75,38.75,85.96085
01/03/2006,-86.75,39.25,85.98725
01/03/2006,-86.75,39.75,86.02451
01/03/2006,-86.75,40.25,86.16614
01/03/2006,-86.75,40.75,86.384865
01/03/2006,-86.75,41.25,86.430115
01/03/2006,-86.75,41.75,86.4705
01/03/2006,-87.25,37.75,85.760765
01/03/2006,-87.25,38.25,85.80845
01/03/2006,-87.25,38.75,85.95547
01/03/2006,-87.25,39.25,85.993546
01/03/2006,-87.25,39.75,86.032
01/03/2006,-87.25,40.25,86.10435
01/03/2006,-87.25,40.75,86.20496
01/03/2006,-87.25,41.25,86.25027
01/03/2006,-87.25,41.75,86.29549
01/03/2006,-87.75,37.75,86.20653
01/03/2006,-87.75,38.25,86.2623
01/03/2006,-87.75,38.75,86.422195
01/03/2006,-87.75,39.25,86.46307
01/03/2006,-87.75,39.75,86.49123
01/03/2006,-87.75,40.25,86.55433
01/03/2006,-87.75,40.75,86.63609
01/03/2006,-87.75,41.25,86.64366
01/03/2006,-87.75,41.75,86.68161
01/04/2006,-84.75,37.75,89.07945
01/04/2006,-84.75,38.25,89.12676
01/04/2006,-84.75,38.75,89.404015
01/04/2006,-84.75,39.25,89.474815
01/04/2006,-84.75,39.75,89.558235
01/04/2006,-84.75,40.25,89.77363
01/04/2006,-84.75,40.75,90.01644
01/04/2006,-84.75,41.25,90.05856
01/04/2006,-84.75,41.75,90.0918
01/04/2006,-85.25,37.75,89.44898
01/04/2006,-85.25,38.25,89.55352
01/04/2006,-85.25,38.75,89.82383
01/04/2006,-85.25,39.25,89.863884
01/04/2006,-85.25,39.75,89.89857
01/04/2006,-85.25,40.25,90.06205
01/04/2006,-85.25,40.75,90.25257
01/04/2006,-85.25,41.25,90.26373
01/04/2006,-85.25,41.75,90.29107
01/04/2006,-85.75,37.75,85.7182
01/04/2006,-85.75,38.25,85.70226
01/04/2006,-85.75,38.75,85.383896
01/04/2006,-85.75,39.25,85.42345
01/04/2006,-85.75,39.75,85.46255
01/04/2006,-85.75,40.25,85.210945
01/04/2006,-85.75,40.75,84.80372
01/04/2006,-85.75,41.25,84.84334
01/04/2006,-85.75,41.75,84.8823
01/04/2006,-86.25,37.75,84.573044
01/04/2006,-86.25,38.25,84.50808
01/04/2006,-86.25,38.75,83.99834
01/04/2006,-86.25,39.25,84.00099
01/04/2006,-86.25,39.75,84.02688
01/04/2006,-86.25,40.25,83.6896
01/04/2006,-86.25,40.75,83.17048
01/04/2006,-86.25,41.25,83.19824
01/04/2006,-86.25,41.75,83.214035
01/04/2006,-86.75,37.75,87.1571
01/04/2006,-86.75,38.25,87.09814
01/04/2006,-86.75,38.75,86.624016
01/04/2006,-86.75,39.25,86.65009
01/04/2006,-86.75,39.75,86.686874
01/04/2006,-86.75,40.25,86.338104
01/04/2006,-86.75,40.75,85.750854
01/04/2006,-86.75,41.25,85.79708
01/04/2006,-86.75,41.75,85.838036
01/04/2006,-87.25,37.75,95.57946
01/04/2006,-87.25,38.25,95.584694
01/04/2006,-87.25,38.75,95.46183
01/04/2006,-87.25,39.25,95.486046
01/04/2006,-87.25,39.75,95.51013
01/04/2006,-87.25,40.25,95.263725
01/04/2006,-87.25,40.75,94.8096
01/04/2006,-87.25,41.25,94.842995
01/04/2006,-87.25,41.75,94.87712
01/04/2006,-87.75,37.75,96.07855
01/04/2006,-87.75,38.25,96.09959
01/04/2006,-87.75,38.75,95.999916
01/04/2006,-87.75,39.25,96.04079
01/04/2006,-87.75,39.75,96.07907
01/04/2006,-87.75,40.25,95.83501
01/04/2006,-87.75,40.75,95.379364
01/04/2006,-87.75,41.25,95.37146
01/04/2006,-87.75,41.75,95.38855
01/05/2006,-84.75,37.75,91.11999
01/05/2006,-84.75,38.25,91.17754
01/05/2006,-84.75,38.75,91.51613
01/05/2006,-84.75,39.25,91.57854
01/05/2006,-84.75,39.75,91.6531
01/05/2006,-84.75,40.25,91.90157
01/05/2006,-84.75,40.75,92.183014
01/05/2006,-84.75,41.25,92.22182
01/05/2006,-84.75,41.75,92.247406
01/05/2006,-85.25,37.75,91.4444
01/05/2006,-85.25,38.25,91.55595
01/05/2006,-85.25,38.75,91.88559
01/05/2006,-85.25,39.25,91.921455
01/05/2006,-85.25,39.75,91.9532
01/05/2006,-85.25,40.25,92.15419
01/05/2006,-85.25,40.75,92.38666
01/05/2006,-85.25,41.25,92.39528
01/05/2006,-85.25,41.75,92.41716
01/05/2006,-85.75,37.75,94.494354
01/05/2006,-85.75,38.25,94.52433
01/05/2006,-85.75,38.75,94.54749
01/05/2006,-85.75,39.25,94.560455
01/05/2006,-85.75,39.75,94.57378
01/05/2006,-85.75,40.25,94.580536
01/05/2006,-85.75,40.75,94.53566
01/05/2006,-85.75,41.25,94.550255
01/05/2006,-85.75,41.75,94.56498
01/05/2006,-86.25,37.75,94.75298
01/05/2006,-86.25,38.25,94.781944
01/05/2006,-86.25,38.75,94.716515
01/05/2006,-86.25,39.25,94.72119
01/05/2006,-86.25,39.75,94.72115
01/05/2006,-86.25,40.25,94.6768
01/05/2006,-86.25,40.75,94.54218
01/05/2006,-86.25,41.25,94.558846
01/05/2006,-86.25,41.75,94.54826
01/05/2006,-86.75,37.75,95.39965
01/05/2006,-86.75,38.25,95.40905
01/05/2006,-86.75,38.75,95.28671
01/05/2006,-86.75,39.25,95.30145
01/05/2006,-86.75,39.75,95.32292
01/05/2006,-86.75,40.25,95.28498
01/05/2006,-86.75,40.75,95.160904
01/05/2006,-86.75,41.25,95.19255
01/05/2006,-86.75,41.75,95.22295
01/05/2006,-87.25,37.75,96.242294
01/05/2006,-87.25,38.25,96.23242
01/05/2006,-87.25,38.75,96.00946
01/05/2006,-87.25,39.25,96.03357
01/05/2006,-87.25,39.75,96.05749
01/05/2006,-87.25,40.25,96.02772
01/05/2006,-87.25,40.75,95.93898
01/05/2006,-87.25,41.25,95.97026
01/05/2006,-87.25,41.75,96.00222
01/05/2006,-87.75,37.75,96.71808
01/05/2006,-87.75,38.25,96.72384
01/05/2006,-87.75,38.75,96.52922
01/05/2006,-87.75,39.25,96.56879
01/05/2006,-87.75,39.75,96.60567
01/05/2006,-87.75,40.25,96.57198
01/05/2006,-87.75,40.75,96.47531
01/05/2006,-87.75,41.25,96.46746
01/05/2006,-87.75,41.75,96.482574
01/06/2006,-84.75,37.75,90.25663
01/06/2006,-84.75,38.25,90.31843
01/06/2006,-84.75,38.75,90.69146
01/06/2006,-84.75,39.25,90.76419
01/06/2006,-84.75,39.75,90.850075
01/06/2006,-84.75,40.25,91.15394
01/06/2006,-84.75,40.75,91.53443
01/06/2006,-84.75,41.25,91.57686
01/06/2006,-84.75,41.75,91.6109
01/06/2006,-85.25,37.75,90.64003
01/06/2006,-85.25,38.25,90.7611
01/06/2006,-85.25,38.75,91.12611
01/06/2006,-85.25,39.25,91.1671
01/06/2006,-85.25,39.75,91.20252
01/06/2006,-85.25,40.25,91.4503
01/06/2006,-85.25,40.75,91.774185
01/06/2006,-85.25,41.25,91.78538
01/06/2006,-85.25,41.75,91.81308
01/06/2006,-85.75,37.75,91.84101
01/06/2006,-85.75,38.25,91.879906
01/06/2006,-85.75,38.75,91.94005
01/06/2006,-85.75,39.25,91.96303
01/06/2006,-85.75,39.75,91.98617
01/06/2006,-85.75,40.25,92.41782
01/06/2006,-85.75,40.75,93.0674
01/06/2006,-85.75,41.25,93.08769
01/06/2006,-85.75,41.75,93.108025
01/06/2006,-86.25,37.75,91.747574
01/06/2006,-86.25,38.25,91.7742
01/06/2006,-86.25,38.75,91.73529
01/06/2006,-86.25,39.25,91.74082
01/06/2006,-86.25,39.75,91.74969
01/06/2006,-86.25,40.25,92.22282
01/06/2006,-86.25,40.75,92.93559
01/06/2006,-86.25,41.25,92.95444
01/06/2006,-86.25,41.75,92.947205
01/06/2006,-86.75,37.75,91.54153
01/06/2006,-86.75,38.25,91.558105
01/06/2006,-86.75,38.75,91.539566
01/06/2006,-86.75,39.25,91.56139
01/06/2006,-86.75,39.75,91.59295
01/06/2006,-86.75,40.25,92.023605
01/06/2006,-86.75,40.75,92.67103
01/06/2006,-86.75,41.25,92.710915
01/06/2006,-86.75,41.75,92.74826
01/06/2006,-87.25,37.75,90.31404
01/06/2006,-87.25,38.25,90.360275
01/06/2006,-87.25,38.75,90.47976
01/06/2006,-87.25,39.25,90.516556
01/06/2006,-87.25,39.75,90.55346
01/06/2006,-87.25,40.25,90.71781
01/06/2006,-87.25,40.75,90.956924
01/06/2006,-87.25,41.25,91.001595
01/06/2006,-87.25,41.75,91.046715
01/06/2006,-87.75,37.75,90.88118
01/06/2006,-87.75,38.25,90.93883
01/06/2006,-87.75,38.75,91.07391
01/06/2006,-87.75,39.25,91.120544
01/06/2006,-87.75,39.75,91.15867
01/06/2006,-87.75,40.25,91.31587
01/06/2006,-87.75,40.75,91.539116
01/06/2006,-87.75,41.25,91.53784
01/06/2006,-87.75,41.75,91.5671
01/07/2006,-84.75,37.75,89.31566
01/07/2006,-84.75,38.25,89.25317
01/07/2006,-84.75,38.75,88.789566
01/07/2006,-84.75,39.25,88.87795
01/07/2006,-84.75,39.75,88.98072
01/07/2006,-84.75,40.25,89.35299
01/07/2006,-84.75,40.75,89.86778
01/07/2006,-84.75,41.25,89.91585
01/07/2006,-84.75,41.75,89.96294
01/07/2006,-85.25,37.75,89.745834
01/07/2006,-85.25,38.25,89.750534
01/07/2006,-85.25,38.75,89.310104
01/07/2006,-85.25,39.25,89.359184
01/07/2006,-85.25,39.75,89.400505
01/07/2006,-85.25,40.25,89.70627
01/07/2006,-85.25,40.75,90.156105
01/07/2006,-85.25,41.25,90.172195
01/07/2006,-85.25,41.75,90.21004
01/07/2006,-85.75,37.75,91.49516
01/07/2006,-85.75,38.25,91.53386
01/07/2006,-85.75,38.75,91.58766
01/07/2006,-85.75,39.25,91.61352
01/07/2006,-85.75,39.75,91.63949
01/07/2006,-85.75,40.25,91.835785
01/07/2006,-85.75,40.75,92.10954
01/07/2006,-85.75,41.25,92.134346
01/07/2006,-85.75,41.75,92.15911
01/07/2006,-86.25,37.75,91.62558
01/07/2006,-86.25,38.25,91.685326
01/07/2006,-86.25,38.75,91.88386
01/07/2006,-86.25,39.25,91.89004
01/07/2006,-86.25,39.75,91.89964
01/07/2006,-86.25,40.25,92.05763
01/07/2006,-86.25,40.75,92.26757
01/07/2006,-86.25,41.25,92.287796
01/07/2006,-86.25,41.75,92.28244
01/07/2006,-86.75,37.75,91.82965
01/07/2006,-86.75,38.25,91.87688
01/07/2006,-86.75,38.75,92.07102
01/07/2006,-86.75,39.25,92.092926
01/07/2006,-86.75,39.75,92.12452
01/07/2006,-86.75,40.25,92.29552
01/07/2006,-86.75,40.75,92.525795
01/07/2006,-86.75,41.25,92.56706
01/07/2006,-86.75,41.75,92.605385
01/07/2006,-87.25,37.75,91.997604
01/07/2006,-87.25,38.25,92.058044
01/07/2006,-87.25,38.75,92.27703
01/07/2006,-87.25,39.25,92.31187
01/07/2006,-87.25,39.75,92.346695
01/07/2006,-87.25,40.25,92.506294
01/07/2006,-87.25,40.75,92.73323
01/07/2006,-87.25,41.25,92.7756
01/07/2006,-87.25,41.75,92.8185
01/07/2006,-87.75,37.75,92.57973
01/07/2006,-87.75,38.25,92.65346
01/07/2006,-87.75,38.75,92.88821
01/07/2006,-87.75,39.25,92.93591
01/07/2006,-87.75,39.75,92.97667
01/07/2006,-87.75,40.25,93.12722
01/07/2006,-87.75,40.75,93.33609
01/07/2006,-87.75,41.25,93.33202
01/07/2006,-87.75,41.75,93.35715
01/08/2006,-84.75,37.75,84.24511
01/08/2006,-84.75,38.25,84.47412
01/08/2006,-84.75,38.75,85.98909
01/08/2006,-84.75,39.25,86.09952
01/08/2006,-84.75,39.75,86.226036
01/08/2006,-84.75,40.25,87.118546
01/08/2006,-84.75,40.75,88.49906
01/08/2006,-84.75,41.25,88.550575
01/08/2006,-84.75,41.75,88.60891
01/08/2006,-85.25,37.75,84.84233
01/08/2006,-85.25,38.25,85.14096
01/08/2006,-85.25,38.75,86.61242
01/08/2006,-85.25,39.25,86.67292
01/08/2006,-85.25,39.75,86.72263
01/08/2006,-85.25,40.25,87.52258
01/08/2006,-85.25,40.75,88.812805
01/08/2006,-85.25,41.25,88.83346
01/08/2006,-85.25,41.75,88.880455
01/08/2006,-85.75,37.75,90.26621
01/08/2006,-85.75,38.25,90.296585
01/08/2006,-85.75,38.75,90.28526
01/08/2006,-85.75,39.25,90.31742
01/08/2006,-85.75,39.75,90.34959
01/08/2006,-85.75,40.25,90.37256
01/08/2006,-85.75,40.75,90.37953
01/08/2006,-85.75,41.25,90.411606
01/08/2006,-85.75,41.75,90.443565
01/08/2006,-86.25,37.75,91.62531
01/08/2006,-86.25,38.25,91.59085
01/08/2006,-86.25,38.75,91.139404
01/08/2006,-86.25,39.25,91.14694
01/08/2006,-86.25,39.75,91.16035
01/08/2006,-86.25,40.25,90.95927
01/08/2006,-86.25,40.75,90.58671
01/08/2006,-86.25,41.25,90.609055
01/08/2006,-86.25,41.75,90.60828
01/08/2006,-86.75,37.75,90.87659
01/08/2006,-86.75,38.25,90.84911
01/08/2006,-86.75,38.75,90.55093
01/08/2006,-86.75,39.25,90.574974
01/08/2006,-86.75,39.75,90.61042
01/08/2006,-86.75,40.25,90.550934
01/08/2006,-86.75,40.75,90.410515
01/08/2006,-86.75,41.25,90.45756
01/08/2006,-86.75,41.75,90.500534
01/08/2006,-87.25,37.75,87.98569
01/08/2006,-87.25,38.25,88.06886
01/08/2006,-87.25,38.75,88.43706
01/08/2006,-87.25,39.25,88.47817
01/08/2006,-87.25,39.75,88.51966
01/08/2006,-87.25,40.25,88.93751
01/08/2006,-87.25,40.75,89.60339
01/08/2006,-87.25,41.25,89.652145
01/08/2006,-87.25,41.75,89.70125
01/08/2006,-87.75,37.75,88.554016
01/08/2006,-87.75,38.25,88.643295
01/08/2006,-87.75,38.75,89.02517
01/08/2006,-87.75,39.25,89.069756
01/08/2006,-87.75,39.75,89.10335
01/08/2006,-87.75,40.25,89.51988
01/08/2006,-87.75,40.75,90.17802
01/08/2006,-87.75,41.25,90.17992
01/08/2006,-87.75,41.75,90.21329
01/09/2006,-84.75,37.75,81.56517
01/09/2006,-84.75,38.25,81.78463
01/09/2006,-84.75,38.75,83.233086
01/09/2006,-84.75,39.25,83.36438
01/09/2006,-84.75,39.75,83.51326
